time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
29	45.717395205919445	2	1	1	2	16	0	45.717395205919445	3.0	0	0.0029754795290247637	0.004771105695325426	0.04736225861012017	0.4578532361665334	226.34085421175854	0.0	148.77397645123818	59.578507267416185	17.988370493104178	11.582621327402949	208.35248371865436	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
29	45.717395205919445	3	1	2	1	16	0	45.717395205919445	3.0	0	0.002995787574986939	0.004895333395812823	0.04859545377550695	0.5058188358098555	227.81491708479155	0.0	149.78937874934695	59.95553085168789	18.07000748375671	11.607350455697174	209.74490960103483	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
29	45.717395205919445	4	1	2	2	16	0	45.717395205919445	3.0	0	0.002912173551143778	0.0035378473425992274	0.035119834156573236	0.45118597572062014	221.7457793429495	0.0	145.60867755718888	58.40321710257362	17.733884683186986	11.504072475061296	204.0118946597625	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
29	45.717395205919445	5	1	3	1	16	0	45.717395205919445	3.0	0	0.002983815673944598	0.0046177121988929554	0.04583953769151564	0.4994598565559622	226.94593466870833	0.0	149.19078369722988	59.73326973164036	18.021881239838066	11.592799366973718	208.92405342887025	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
29	45.717395205919445	6	1	3	2	16	0	45.717395205919445	3.0	0	0.002971895989874405	0.004436111804855626	0.04403680990149357	0.4374609130818661	226.08074243017984	0.0	148.59479949372025	59.51197803179387	17.9739649046657	11.578234331118203	208.10677752551413	-2.5431449349812735E-4	0.0	0.0	0.032592590898275375	0.003936208629884903	3.5431449349812734E-4	0.0	0.0	
30	60.85990935033131	1	1	1	1	16	0	60.85990935033131	4.0	0	0.003545522578662374	0.008470146055199823	0.1295204395952347	0.6021222199678282	265.9097833350789	0.0	177.27612893311868	68.47601944541294	20.15763495654728	12.191516956641301	245.75214837853161	-4.960807289511118E-4	0.0	0.0	0.032592590898275375	0.003895806541103765	5.960807289511118E-4	0.0	0.0	
30	60.85990935033131	2	1	1	2	16	0	60.85990935033131	4.0	0	0.0035537303399868114	0.009133681579035227	0.13798002617472777	0.61548161492258	266.4743789730801	0.0	177.68651699934057	68.59934035209669	20.188521621642856	12.199301264705262	246.28585735143724	-4.957850726741619E-4	0.0	0.0	0.032592590898275375	0.003960540966805417	5.957850726741619E-4	0.0	0.0	
30	60.85990935033131	3	1	2	1	16	0	60.85990935033131	4.0	0	0.003611344029584603	0.01015104817032466	0.1493067951635192	0.7347528990664162	270.537641799151	0.0	180.56720147923014	69.55833974681919	20.412100573101647	12.253787420372406	250.12554122604934	-4.99555308516879E-4	0.0	0.0	0.032592590898275375	0.004043120941066151	5.995553085168789E-4	0.0	0.0	
30	60.85990935033131	4	1	2	2	16	0	60.85990935033131	4.0	0	0.0034133912886706533	0.00798256559737547	0.11431706340228676	0.6153308895718399	256.5328200154591	0.0	170.66956443353266	66.2223181978039	19.640937384122555	12.061129160914513	236.89188263133656	-4.840321710257363E-4	0.0	0.0	0.032592590898275375	0.003421594186342595	5.840321710257363E-4	0.0	0.0	
30	60.85990935033131	5	1	3	1	16	0	60.85990935033131	4.0	0	0.0035725299772950475	0.009009106391515295	0.1352213605508787	0.622373201676587	267.80567861191247	0.0	178.62649886475234	68.9173354768364	20.26184427032375	12.217240989466623	247.54383434158873	-4.973326973164037E-4	0.0	0.0	0.032592590898275375	0.003925673159097147	5.973326973164036E-4	0.0	0.0	
30	60.85990935033131	6	1	3	2	16	0	60.85990935033131	4.0	0	0.0035459615314304633	0.010070552207916295	0.1439495287025138	0.6714407522845532	265.92378837131844	0.0	177.29807657152315	68.46752004206493	20.15819175773037	12.191847342623904	245.7655966135881	-4.951197803179388E-4	0.0	0.0	0.032592590898275375	0.0038398997693984173	5.951197803179388E-4	0.0	0.0	
31	75.95409726570514	1	1	1	1	16	0	75.95409726570514	5.0	0	0.004212726352461418	0.010910960559142535	0.23770726481257415	0.6994924259977103	312.99061124497854	0.0	211.1394087095208	79.45351525105924	22.397687284398494	12.974237932279628	290.59292396058004	-5.847601944541295E-4	0.0	0.0	0.07597794383764267	0.004526662891765667	6.847601944541295E-4	0.0	0.0	
31	75.95409726570514	2	1	1	2	16	0	75.95409726570514	5.0	0	0.004257797037568532	0.011905882142278675	0.256031923017637	0.730932815447283	316.1564166468063	0.0	213.4207386835218	80.1833414071124	22.5523365561721	13.018787625811699	293.60408009063417	-5.85993403520967E-4	0.0	0.0	0.07597794383764267	0.004687542343988222	6.859934035209669E-4	0.0	0.0	
31	75.95409726570514	3	1	2	1	16	0	75.95409726570514	5.0	0	0.0043924236984325855	0.01309252569889219	0.27912476872889047	0.8444329548872885	325.65405288232523	0.0	220.21014175106575	82.40943430797921	23.034476823280297	13.137679591367835	302.61957605904496	-5.955833974681919E-4	0.0	0.0	0.07597794383764267	0.005011425742449933	6.955833974681919E-4	0.0	0.0	
31	75.95409726570514	4	1	2	2	16	0	75.95409726570514	5.0	0	0.0040520169200674765	0.010484760914301455	0.21827793745481533	0.6222004056166317	301.5970487134532	0.0	203.08238833774163	76.72961816422819	21.785042211483404	12.844226042145301	279.8120065019698	-5.622231819780389E-4	0.0	0.0	0.07597794383764267	0.0043358341212656505	6.62223181978039E-4	0.0	0.0	
31	75.95409726570514	5	1	3	1	16	0	75.95409726570514	5.0	0	0.0042961191478992685	0.012434429281779827	0.2585140275982427	0.7292220529331511	318.8653077034965	0.0	215.35156471356396	80.8225395497848	22.691203440147795	13.052375342037818	296.1741042633488	-5.891733547683641E-4	0.0	0.0	0.07597794383764267	0.004702509422311424	6.891733547683641E-4	0.0	0.0	
31	75.95409726570514	6	1	3	2	16	0	75.95409726570514	5.0	0	0.0042679312938429664	0.013410984505110978	0.2769251570885182	0.7453054293888585	316.8691449102219	0.0	213.94095092978594	80.34608001117232	22.58211396926363	13.03186368386549	294.2870309409583	-5.846752004206493E-4	0.0	0.0	0.07597794383764267	0.0049184690790964845	6.846752004206493E-4	0.0	0.0	
32	90.99997066581098	1	1	1	1	16	0	90.99997066581098	6.0	0	0.0050409957381095626	0.013025299755192288	0.3667792790931286	0.5127969401741629	369.8811883973119	0.0	253.4974424504679	91.3134232828692	25.0703226639748	13.75374662524063	344.8108657333371	-6.945351525105924E-4	0.0	0.0	0.07597794383764267	0.006669151300800468	7.945351525105924E-4	0.0	0.0	
32	90.99997066581098	2	1	1	2	16	0	90.99997066581098	6.0	0	0.00519656907652945	0.016475412937774905	0.4192922528334494	0.6095891737260285	380.63698786720295	0.0	261.42992312325254	93.62552608498589	25.581538658964508	13.879362533332872	355.05544920823843	-7.01833414071124E-4	0.0	0.0	0.07597794383764267	0.00695454251745467	8.018334140711239E-4	0.0	0.0	
32	90.99997066581098	3	1	2	1	16	0	90.99997066581098	6.0	0	0.005408134028392655	0.01821674336997873	0.45964051919811094	0.6471565174602018	395.4192137011056	0.0	272.153981729903	96.95329082255896	26.311941148643633	14.02812777921895	369.10727255246195	-7.240943430797922E-4	0.0	0.0	0.07597794383764267	0.007396091616014718	8.240943430797922E-4	0.0	0.0	
32	90.99997066581098	4	1	2	2	16	0	90.99997066581098	6.0	0	0.004887266478861408	0.013679657580939197	0.3538342004065552	0.6211665973504492	358.9670665957809	0.0	245.79739097642914	88.68947461015266	24.480201009199092	13.663566956042942	334.4868655865818	-6.672961816422818E-4	0.0	0.0	0.07597794383764267	0.006509500160501121	7.672961816422818E-4	0.0	0.0	
32	90.99997066581098	5	1	3	1	16	0	90.99997066581098	6.0	0	0.005266979888478218	0.016254940762967053	0.4195896255284093	0.6699040737168911	385.5499260452175	0.0	265.0017784239542	94.72419919636336	25.82394842489993	13.929937115017745	359.72597762031756	-7.082253954978482E-4	0.0	0.0	0.07597794383764267	0.007140239642166187	8.082253954978481E-4	0.0	0.0	
32	90.99997066581098	6	1	3	2	16	0	90.99997066581098	6.0	0	0.005246815505462404	0.017665495279217125	0.45197840744026174	0.6531431253546662	384.10486402443024	0.0	264.0014882171928	94.36262695201157	25.740748855225903	13.92205476168379	358.36411516920435	-7.034608001117231E-4	0.0	0.0	0.07597794383764267	0.007253014375892397	8.034608001117232E-4	0.0	0.0	
