time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
6	81.75805025099953	6	1	3	2	16	0	81.75805025099953	5.0	0	0.004491328179474496	0.012603851285075055	0.2711173379606636	0.8761674014237767	332.34561342906755	0.0	225.1885863599008	82.66283435695763	24.49419271220909	12.568343212365207	307.85142071685846	-6.014137261210235E-4	0.0	0.0	0.07597794383764267	0.0048783343165635954	7.014137261210235E-4	0.0	0.0	
7	97.97965206233057	1	1	1	1	16	0	97.97965206233057	6.0	0	0.005493702890410279	0.01726565232206811	0.43903522257140903	0.6848692724791674	399.6660950638667	0.0	276.52565161627086	95.3533464094935	27.78709703810233	13.383153969478531	371.87899802576436	-7.163427018533002E-4	0.0	0.0	0.07597794383764267	0.007383757817505496	8.163427018533003E-4	0.0	0.0	
7	97.97965206233057	2	1	1	2	16	0	97.97965206233057	6.0	0	0.0055043446613792435	0.016804521722991374	0.4270051701492874	0.6619499293285244	400.45259219559927	0.0	277.0370459745958	95.57694873915008	27.838597481853345	13.384797670092224	372.6139947137459	-7.213623137164237E-4	0.0	0.0	0.07597794383764267	0.007140943120246399	8.213623137164237E-4	0.0	0.0	
7	97.97965206233057	3	1	2	1	16	0	97.97965206233057	6.0	0	0.005391715472129724	0.017846735441288248	0.4332493576738732	0.7183722491984731	392.5243850262282	0.0	271.396521007827	93.72354542071798	27.404318597683194	13.323449920021469	365.120066428545	-7.003813021657427E-4	0.0	0.0	0.07597794383764267	0.0072951530672590425	8.003813021657427E-4	0.0	0.0	
7	97.97965206233057	4	1	2	2	16	0	97.97965206233057	6.0	0	0.005601765121187343	0.019378926928529758	0.47681569350830566	0.7720403320828485	407.05703827528913	0.0	282.02014027222435	96.87966893551611	28.157229067548474	13.45657302779224	378.8998092077405	-7.252710636705187E-4	0.0	0.0	0.07597794383764267	0.007615172849009584	8.252710636705188E-4	0.0	0.0	
7	97.97965206233057	5	1	3	1	16	0	97.97965206233057	6.0	0	0.005658481513282266	0.0193427080420727	0.4855992294093756	0.6602741639426113	410.93053995417944	0.0	284.9043683776275	97.67249564045771	28.35367593609415	13.493025203517474	382.57686401808525	-7.285544689247014E-4	0.0	0.0	0.07597794383764267	0.0077799563466087835	8.285544689247014E-4	0.0	0.0	
7	97.97965206233057	6	1	3	2	16	0	97.97965206233057	6.0	0	0.005579749839333592	0.017900397703715033	0.45026673380142723	0.7631279722745706	405.6095726052594	0.0	280.8755515540476	96.63808140995219	28.09593964125973	13.43659040360443	377.5136329639998	-7.266283435695764E-4	0.0	0.0	0.07597794383764267	0.0073811390791032735	8.266283435695764E-4	0.0	0.0	
8	114.15699831849638	1	1	1	1	16	0	114.15699831849638	7.0	0	0.006964458505321592	0.022820049909226457	0.6673657765585719	0.8018115603189248	492.40331128418615	0.0	352.14441495270796	107.54379589054253	32.71510044093548	14.051254761487929	459.6882108432505	-8.53533464094935E-4	0.0	0.0	0.07597794383764267	0.008851699954292466	9.53533464094935E-4	0.0	0.0	
8	114.15699831849638	2	1	1	2	16	0	114.15699831849638	7.0	0	0.006980012421290906	0.024664318459291807	0.6737889204008136	0.7779676046193245	493.49953944695085	0.0	352.9083667899844	107.80811283985666	32.783059817109745	14.053492328052595	460.7164796298411	-8.557694873915009E-4	0.0	0.0	0.07597794383764267	0.008859640983262855	9.557694873915008E-4	0.0	0.0	
8	114.15699831849638	3	1	2	1	16	0	114.15699831849638	7.0	0	0.006902943653281196	0.026332943670172797	0.6967288697801253	0.8535852538724787	487.8135637128823	0.0	349.09617757839766	106.24945428680482	32.467931847679786	14.02447294768922	455.34563186520245	-8.372354542071798E-4	0.0	0.0	0.07597794383764267	0.009105237478791866	9.372354542071798E-4	0.0	0.0	
8	114.15699831849638	4	1	2	2	16	0	114.15699831849638	7.0	0	0.007185673760310065	0.026847852315428695	0.7454472266088906	0.8271784179236895	506.9290200310158	0.0	363.45665583880395	110.007994302465	33.464369889747054	14.148321086013663	473.464650141269	-8.68796689355161E-4	0.0	0.0	0.07597794383764267	0.009466489046471776	9.68796689355161E-4	0.0	0.0	
8	114.15699831849638	5	1	3	1	16	0	114.15699831849638	7.0	0	0.007275106917107038	0.027526508149451765	0.7610211886118095	0.7898596295515241	512.8654488552747	0.0	368.02301336261996	111.07199594853219	33.77043954412253	14.186815918850979	479.0950093111521	-8.767249564045771E-4	0.0	0.0	0.07597794383764267	0.009630417187257947	9.76724956404577E-4	0.0	0.0	
8	114.15699831849638	6	1	3	2	16	0	114.15699831849638	7.0	0	0.007114352579518347	0.02474835964955971	0.6978913749190094	0.8681590686140277	502.3726137835112	0.0	359.77700890627847	109.3577317638485	33.237873113384246	14.114463313274264	469.134740670127	-8.66380814099522E-4	0.0	0.0	0.07597794383764267	0.009190426301840613	9.663808140995219E-4	0.0	0.0	
9	130.28972952567284	1	1	1	1	16	0	130.28972952567284	8.0	1	0.008958358436144502	0.0324566989768604	0.9920361055459206	0.8713231316157098	615.0521506471268	0.0	455.02966015933146	120.33491051600134	39.68757997179397	14.497345796449299	575.3645706753327	-9.754379589054251E-4	0.0	0.0	0.14009717106819153	0.011107218873504496	0.0010754379589054252	0.0	0.0	
9	130.28972952567284	2	1	1	2	16	0	130.28972952567284	8.0	1	0.009046847025965046	0.033997343359625565	1.01387059848936	0.8362937909544289	620.6347389119637	0.0	459.55704148835383	121.06711241730329	40.0105850063066	14.511763669892284	580.6241539056571	-9.78081128398567E-4	0.0	0.0	0.14009717106819153	0.011519724183346586	0.0010780811283985668	0.0	0.0	
9	130.28972952567284	3	1	2	1	16	0	130.28972952567284	8.0	1	0.009036913722350767	0.03683506684538738	1.0651968177833742	0.9502328594319494	619.078402113583	0.0	459.2090425350684	119.93913617043967	39.93022340807493	14.504005469410655	579.1481787055081	-9.62494542868048E-4	0.0	0.0	0.14009717106819153	0.01193470571838151	0.001062494542868048	0.0	0.0	
9	130.28972952567284	4	1	2	2	16	0	130.28972952567284	8.0	1	0.009380509751960036	0.03700697925453317	1.1156348460572907	0.9321274473961257	641.937845101178	0.0	476.7102026685249	124.08813860624191	41.13950382641106	14.603927743267084	600.7983412747668	-0.00100007994302465	0.0	0.0	0.14009717106819153	0.012186117328696351	0.00110007994302465	0.0	0.0	
9	130.28972952567284	5	1	3	1	16	0	130.28972952567284	8.0	1	0.009527453064436123	0.03920894262848316	1.1532354526536146	0.8826441294696581	651.4118405488096	0.0	484.2440844785144	125.52107501279927	41.64668105749607	14.641386636536332	609.7651594913137	-0.0010107199594853221	0.0	0.0	0.14009717106819153	0.012480327464068491	0.001110719959485322	0.0	0.0	
9	130.28972952567284	6	1	3	2	16	0	130.28972952567284	8.0	1	0.009207257007183316	0.03526530241203369	1.050656680599546	0.9493396603158729	631.1114210739693	0.0	467.770886585721	122.78397247962218	40.55656200862608	14.561265300045317	590.5548590653432	-9.935773176384852E-4	0.0	0.0	0.14009717106819153	0.011623877887014272	0.001093577317638485	0.0	0.0	
10	146.37750338339552	1	1	1	1	16	0	146.37750338339552	9.0	1	0.011605230284992595	0.04464724196681901	1.4385340901865116	0.836889709407805	781.3088304703125	0.0	592.8647582698662	139.56848799407388	48.875584206372224	14.985667346119374	732.4332462639401	-0.0011033491051600133	0.0	0.0	0.14009717106819153	0.0162935575203027	0.0012033491051600133	0.0	0.0	
10	146.37750338339552	2	1	1	2	16	0	146.37750338339552	9.0	1	0.011776038408559023	0.04628335719733422	1.4767306722732787	0.7737213962423318	792.0621157491121	0.0	601.6789058868806	140.89886737455723	49.48434248767495	15.006317876132059	742.5777732614378	-0.001110671124173033	0.0	0.0	0.14009717106819153	0.01674655570951264	0.001210671124173033	0.0	0.0	
10	146.37750338339552	3	1	2	1	16	0	146.37750338339552	9.0	1	0.011888020013005455	0.04934343365735932	1.5586594083646963	0.8308159606848148	798.1635610394055	0.0	607.6795910684157	140.65678963877497	49.827180332214766	15.018637934512396	748.3363807071906	-0.0010993913617043968	0.0	0.0	0.14009717106819153	0.017480703241661566	0.0011993913617043969	0.0	0.0	
